Date,Hour,Load,Temp,Day,Time
12,10,33.3125,29.3,Weekday,Day
12,11,32.875,31.2,Weekday,Day
12,12,33.625,32.1,Weekday,Day
12,13,30.25,32.1,Weekday,Day
12,14,37.75,33,Weekday,Day
12,15,40.125,33,Weekday,Day
12,16,28.25,33,Weekday,Day
12,17,17.625,33,Weekday,Day
12,18,12.3125,32.1,Weekday,Night
12,19,10.25,31.2,Weekday,Night
12,20,7.1875,29.3,Weekday,Night
12,21,5.8125,29.3,Weekday,Night
12,22,5.4375,29.3,Weekday,Night
12,23,5.75,28.4,Weekday,Night
12,24,5.625,28.4,Weekday,Night
13,1,6.25,27.5,Weekday,Night
13,2,4.875,27.5,Weekday,Night
13,3,5,27.5,Weekday,Night
13,4,5.125,27.5,Weekday,Night
13,5,6,27.5,Weekday,Day
13,6,28.75,27.5,Weekday,Day
13,7,22.125,27.5,Weekday,Day
13,8,35,27.5,Weekday,Day
13,9,42.8125,28.4,Weekday,Day
13,10,48.5625,29.3,Weekday,Day
13,11,48.375,31.2,Weekday,Day
13,12,46.875,32.1,Weekday,Day
13,13,42.25,32.1,Weekday,Day
13,14,42.625,33,Weekday,Day
13,15,49.125,33,Weekday,Day
13,16,31.5,33,Weekday,Day
13,17,17.4375,33,Weekday,Day
13,18,13.8125,32.1,Weekday,Night
13,19,10.25,31.2,Weekday,Night
13,20,5.875,29.3,Weekday,Night
13,21,5.5,29.3,Weekday,Night
13,22,5.5,29.3,Weekday,Night
13,23,5.5,28.4,Weekday,Night
13,24,6.125,28.4,Weekday,Night
14,1,5.8125,28,Weekday,Night
14,2,5.0625,28,Weekday,Night
14,3,5.0625,28,Weekday,Night
14,4,5.25,28,Weekday,Night
14,5,6.8125,28,Weekday,Day
14,6,13.625,28,Weekday,Day
14,7,24,28,Weekday,Day
14,8,29.75,28,Weekday,Day
14,9,40.375,29,Weekday,Day
14,10,42.125,29.9,Weekday,Day
14,11,44.125,31.8,Weekday,Day
14,12,48.9375,32.7,Weekday,Day
14,13,47.8125,32.7,Weekday,Day
14,14,44.4375,33.6,Weekday,Day
14,15,50.1875,33.6,Weekday,Day
14,16,49.75,33.6,Weekday,Day
14,17,25.75,33.6,Weekday,Day
14,18,17.25,32.7,Weekday,Night
14,19,9.75,31.8,Weekday,Night
14,20,8.25,29.9,Weekday,Night
14,21,7,29.9,Weekday,Night
14,22,6.5625,29.9,Weekday,Night
14,23,7.0625,29,Weekday,Night
14,24,6.375,29,Weekday,Night
15,1,8.125,28.3,Weekday,Night
15,2,6.5,28.3,Weekday,Night
15,3,5.75,28.3,Weekday,Night
15,4,6.125,28.3,Weekday,Night
15,5,7.25,28.3,Weekday,Day
15,6,14.4375,28.3,Weekday,Day
15,7,14.1875,28.3,Weekday,Day
15,8,0,28.3,Weekday,Day
15,9,52.1875,29.3,Weekday,Day
15,10,70.6875,30.2,Weekday,Day
15,11,64.625,32.1,Weekday,Day
15,12,63.5,33,Weekday,Day
15,13,62.75,33,Weekday,Day
15,14,72.9375,34,Weekday,Day
15,15,63.75,34,Weekday,Day
15,16,55,34,Weekday,Day
15,17,44.125,34,Weekday,Day
15,18,26.375,33,Weekday,Night
15,19,16.125,32.1,Weekday,Night
15,20,8.75,30.2,Weekday,Night
15,21,7.25,30.2,Weekday,Night
15,22,6.375,30.2,Weekday,Night
15,23,7.5,29.3,Weekday,Night
15,24,7,29.3,Weekday,Night
16,1,6.125,27.4,Weekend,Night
16,2,6.0625,27.4,Weekend,Night
16,3,6.4375,27.4,Weekend,Night
16,4,7,27.4,Weekend,Night
16,5,6.4375,27.4,Weekend,Day
16,6,5.4375,27.4,Weekend,Day
16,7,3,27.4,Weekend,Day
16,8,0,27.4,Weekend,Day
16,9,0,28.3,Weekend,Day
16,10,0,29.2,Weekend,Day
16,11,0,31,Weekend,Day
16,12,0,32,Weekend,Day
16,13,0,32,Weekend,Day
16,14,0,32.9,Weekend,Day
16,15,0,32.9,Weekend,Day
16,16,0,32.9,Weekend,Day
16,17,0,32.9,Weekend,Day
16,18,0,32,Weekend,Night
